time,inventory,backorders,warehouse_inventory,demand,pipeline,holding_cost,shortage_cost,ordering_cost,service_level,supplier_reliability,total_immediate_fulfilled,total_backorder_fulfilled,cumulative_total_cost,safety_stock,in_transit,inventory_age_days,demand_std_7d,inventory_turnover_ratio,supplier_reliability_30d,supplier_production
0,100,0,500,82,"[{'created': 4, 'arrives': 9, 'quantity': 30}]",50,0,0,1,0.130440494,0,0,0,0,0,0,0,0,0,0
1,95,0,480,85,"[{'created': 4, 'arrives': 6, 'quantity': 27}]",47.5,0,0,1,0.976061758,0,0,0,0,0,0,0,0,0,0
2,90,2,460,88,"[{'created': 1, 'arrives': 10, 'quantity': 42}]",0,0,0,45,0.464789668,0,0,0,0,0,0,0,0,0,0
3,80,12,440,92,"[{'created': 3, 'arrives': 10, 'quantity': 47}]",0,0,0,40,0.897974781,0,0,0,50,0,0,0,0,0,0
4,70,18,420,98,"[{'created': 3, 'arrives': 7, 'quantity': 14}]",0,0,0,35,0.212443877,0,0,0,0,0,0,0,0,0,0
5,150,0,380,105,"[{'created': 5, 'arrives': 10, 'quantity': 47}]",0,0,0,75,0.829975312,0,0,0,0,0,0,0,0,0,0
6,140,5,360,110,"[{'created': 5, 'arrives': 10, 'quantity': 19}]",0,0,0,70,0.103914924,0,0,0,0,0,0,0,0,0,0
7,130,15,340,115,"[{'created': 5, 'arrives': 10, 'quantity': 24}]",0,0,0,65,0.242238914,0,0,0,0,0,0,0,0,0,0
8,220,0,300,120,"[{'created': 3, 'arrives': 10, 'quantity': 13}]",0,0,0,110,0.24234372,0,0,0,20,0,0,0,0,0,0
9,210,8,280,125,"[{'created': 2, 'arrives': 8, 'quantity': 19}]",0,0,0,105,0.126807544,0,0,0,0,0,0,0,0,0,0
10,200,18,260,130,"[{'created': 1, 'arrives': 9, 'quantity': 13}]",0,0,0,100,0.32957094,0,0,0,0,0,0,0,0,0,0
11,280,0,220,135,"[{'created': 2, 'arrives': 9, 'quantity': 19}]",0,0,0,140,0.363530069,0,0,0,0,0,0,0,0,0,0
12,270,10,200,140,"[{'created': 2, 'arrives': 10, 'quantity': 37}]",0,0,0,135,0.317147553,0,0,0,0,0,0,0,0,0,0
13,260,25,180,145,"[{'created': 5, 'arrives': 6, 'quantity': 29}]",0,0,0,130,0.835814866,0,0,0,60,0,0,0,0,0,0
14,340,0,140,150,"[{'created': 5, 'arrives': 7, 'quantity': 46}]",0,0,0,170,0.093060826,0,0,0,0,0,0,0,0,0,0
15,330,15,120,155,"[{'created': 1, 'arrives': 9, 'quantity': 20}]",0,0,0,165,0.752574683,0,0,0,0,0,0,0,0,0,0
16,320,30,100,160,"[{'created': 3, 'arrives': 7, 'quantity': 36}]",0,0,0,160,0.662999866,0,0,0,0,0,0,0,0,0,0
17,400,0,60,165,"[{'created': 3, 'arrives': 6, 'quantity': 42}]",0,0,0,200,0.6069508,0,0,0,0,0,0,0,0,0,0
18,390,20,40,170,"[{'created': 2, 'arrives': 7, 'quantity': 17}]",0,0,0,195,0.014295713,0,0,0,80,0,0,0,0,0,0
19,380,35,20,175,"[{'created': 2, 'arrives': 6, 'quantity': 22}]",0,0,0,190,0.348885495,0,0,0,0,0,0,0,0,0,0
20,424,24.07272727,-12,180,"[{'created': 2, 'arrives': 8, 'quantity': 19}]",0,0,0,212,0.054122797,0,0,0,0,0,0,0,0,0,0
21,443.4545455,25.64545455,-38.54545455,185,"[{'created': 1, 'arrives': 9, 'quantity': 13}]",0,0,0,221.7272727,0.280087249,0,0,0,0,0,0,0,0,0,0
22,462.9090909,27.21818182,-65.09090909,190,"[{'created': 2, 'arrives': 9, 'quantity': 19}]",0,0,0,231.4545455,0.260363141,0,0,0,0,0,0,0,0,0,0
23,482.3636364,28.79090909,-91.63636364,195,"[{'created': 2, 'arrives': 10, 'quantity': 37}]",0,0,0,241.1818182,0.067618795,0,0,0,0,0,0,0,0,0,0
